gene bac body
100158983 4723 1262
100158984 131 487
100158985 48 80
100158987 759 982
100158988 1666 2013
100158990 14 21
100158991 8465 9790
100158993 2731 3107
100158994 1334 3307
100158995 86 258
100158996 6590 4135
100158999 2460 1913
100159001 1826 1823
100159002 546 452
100159005 671 1265
100159008 1048 1641
100159009 314 1338
100159010 2378 37854
100159011 615 539
100159013 240 383
100159014 3276 3079
100159015 1151 1397
100159016 542 800
100159018 0 0
100159019 9397 7047
100159021 608 601
100159023 70 129
100159024 930 28360
100159025 143 902
100159026 0 1
100159027 81 583
100159028 517 604
100159030 2341 3226
100159031 1064 1373
100159032 2020 2322
100159033 1211 217
100159034 1387 1462
100159035 1417 1215
100159036 0 3
100159037 0 0
100159038 951 1232
100159039 567 625
100159040 1081 946
100159041 288 240
100159043 286 608
100159044 483 1137
100159045 28868 17333
100159047 552 425
100159048 372 3075
100159049 458 793
100159050 18 56
100159051 0 12
100159052 960 1292
100159053 115 579
100159054 0 0
100159055 2440 12435
100159056 320 642
100159057 190 252
100159060 194 231
100159061 589 1636
100159063 2745 11394
100159064 23 290
100159065 60851 71322
100159066 12 504
100159067 1175 1735
100159068 627 646
100159070 314 3645
100159071 294 516
100159074 194 380
100159075 13 33
100159076 2 1
100159077 102 899
100159080 127 174
100159081 68 77
100159083 224 228
100159086 0 0
100159087 3301 12179
100159088 90 523
100159089 0 0
100159090 17 17
100159092 703 557
100159093 2405 2694
100159094 0 0
100159095 69 190
100159096 1014 3277
100159098 5752 7677
100159099 582 772
100159100 642 714
100159102 594 850
100159103 1560 2571
100159104 357 327
100159106 12111 2092
100159107 4372 5406
100159108 1081 1706
100159109 21 738
100159110 95 460
100159114 638 924
100159115 0 0
100159117 132 456
100159118 85 115
100159119 676 567
100159120 1645 2877
100159122 495 796
100159123 95 63
100159124 182 269
100159128 0 64
100159129 469 531
100159131 810 1468
100159132 0 2
100159133 120 554
100159134 950 1189
100159135 1671 1826
100159136 142 152
100159138 42845 2682
100159139 127 58
100159140 2876 3209
100159141 721 870
100159142 78 251
100159143 127 152
100159144 738 886
100159145 3927 4084
100159146 5 11
100159148 0 0
100159149 16 99
100159150 178 177
100159151 857 946
100159152 20801 15965
100159153 159 152
100159154 615 1047
100159157 0 1
100159159 636 907
100159160 212 1471
100159162 0 180
100159163 662 365
100159165 1550 1558
100159166 26 26
100159168 807 675
100159169 834 1033
100159170 558 899
100159171 684 681
100159172 69 98
100159173 548 630
100159176 1173 1526
100159177 528 1420
100159178 807 542
100159179 5494 6847
100159180 0 5
100159182 34 47
100159183 893 1008
100159184 15419 4589
100159186 9019 7043
100159187 440 1018
100159188 5380 312
100159189 360 344
100159190 136 108
100159191 0 0
100159192 5061 7125
100159193 228 229
100159194 0 0
100159195 0 0
100159196 1 0
100159197 17223 643
100159200 965 1240
100159201 23 15
100159202 129 182
100159203 119 140
100159205 5982 5434
100159206 0 0
100159207 1162 1732
100159208 652 1644
100159210 2 74
100159211 1779 1675
100159213 60 689
100159214 321 235
100159215 1 7
100159216 6 47
100159217 3365 3153
100159218 940 1283
100159219 104 151
100159220 2505 2205
100159221 3422 290
100159222 26 523
100159225 43 176
100159226 26 564
100159227 1 3
100159228 445 561
100159229 91762 96803
100159230 1363 1327
100159231 71 346
