gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_11011.g12901 7 0 2 0 0 0
ScZCZ4B_1102.g2287 28 6 49 8 0 5
ScZCZ4B_1104.g12960 1 2 9 0 0 0
ScZCZ4B_1105.g4419 0 2 0 0 0 0
ScZCZ4B_1106.g7202 52 33 88 51 37 45
ScZCZ4B_111.g4247 0 0 0 0 0 0
ScZCZ4B_1110.g19958 13 8 28 4 0 4
ScZCZ4B_1113.g13004 0 0 0 0 0 0
ScZCZ4B_1113.g13005 0 0 0 0 0 0
ScZCZ4B_1113.g13006 0 0 0 1 0 0
ScZCZ4B_1113.g13007 0 0 0 0 0 0
ScZCZ4B_11153.g12941 0 0 0 0 0 0
ScZCZ4B_11155.g2683 0 0 0 0 0 0
ScZCZ4B_1119.g2692 0 0 0 4 0 0
ScZCZ4B_1121.g6923 5 4 10 0 2 0
ScZCZ4B_11226.g4577 8 2 8 4 4 0
ScZCZ4B_1124.g6830 1 0 0 2 0 0
ScZCZ4B_11241.g18043 4 2 2 2 0 0
ScZCZ4B_1125.g1270 6 0 2 1 6 0
ScZCZ4B_11261.g7180 106 46 148 76 78 31
ScZCZ4B_11284.g4408 13 10 62 8 19 27
ScZCZ4B_113.g12860 0 0 1 0 0 0
ScZCZ4B_1130.g2500 149 24 162 60 65 41
ScZCZ4B_1131.g18243 0 0 0 0 0 0
ScZCZ4B_1133.g6936 0 0 0 0 0 0
ScZCZ4B_11342.g7345 9 8 5 2 2 2
ScZCZ4B_11349.g4322 10 2 14 8 2 0
ScZCZ4B_1136.g15175 26 8 47 8 11 7
ScZCZ4B_11365.g7197 2 2 21 2 10 1
ScZCZ4B_11370.g12894 0 0 0 0 0 0
ScZCZ4B_11377.g13038 0 0 0 0 0 0
ScZCZ4B_11385.g10767 0 0 0 0 0 0
ScZCZ4B_11389.g1347 0 0 1 0 0 0
ScZCZ4B_1139.g1249 0 0 0 0 0 0
ScZCZ4B_114.g4493 1 0 0 0 0 0
ScZCZ4B_114.g4494 0 0 4 0 0 0
ScZCZ4B_1142.g12939 0 0 0 0 0 0
ScZCZ4B_1144.g18104 0 0 0 0 0 0
ScZCZ4B_11444.g2302 6 2 5 2 3 2
ScZCZ4B_1146.g7246 0 0 0 0 0 0
ScZCZ4B_11476.g2282 0 0 0 0 0 0
ScZCZ4B_1148.g13183 0 0 1 0 0 0
ScZCZ4B_1149.g7307 0 0 0 0 0 0
ScZCZ4B_11495.g2672 0 0 0 0 0 0
ScZCZ4B_115.g2310 0 0 0 0 0 0
ScZCZ4B_115.g2311 0 0 0 0 0 0
ScZCZ4B_115.g2312 0 0 0 0 0 0
