gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_16.g657 913 460 2338 124 134 98
ScZCZ4B_16.g658 27 2 26 3 5 2
ScZCZ4B_16.g659 177 62 245 74 65 98
ScZCZ4B_16.g66 0 0 2 0 0 0
ScZCZ4B_16.g660 2 0 7 4 0 0
ScZCZ4B_16.g661 15 29 31 11 20 9
ScZCZ4B_16.g662 0 0 0 0 0 0
ScZCZ4B_16.g663 517 139 807 160 130 141
ScZCZ4B_16.g664 395 94 803 57 105 84
ScZCZ4B_16.g665 329 77 468 111 153 95
ScZCZ4B_16.g666 108 7 97 39 21 33
ScZCZ4B_16.g667 192 64 476 17 13 12
ScZCZ4B_16.g668 3 1 2 0 0 0
ScZCZ4B_16.g669 100 22 168 15 23 4
ScZCZ4B_16.g67 19 4 67 8 1 2
ScZCZ4B_16.g670 459 255 997 171 191 102
ScZCZ4B_16.g671 3 1 0 7 1 0
ScZCZ4B_16.g672 12 1 4 0 2 0
ScZCZ4B_16.g673 286 106 485 194 192 110
ScZCZ4B_16.g674 21 16 47 10 22 23
ScZCZ4B_16.g675 188 19 323 37 39 35
ScZCZ4B_16.g676 208 110 432 26 58 20
ScZCZ4B_16.g677 6 2 22 11 3 2
ScZCZ4B_16.g678 887 620 1986 255 278 127
ScZCZ4B_16.g679 115 51 298 25 62 32
ScZCZ4B_16.g68 49 34 70 36 25 20
ScZCZ4B_16.g680 166 105 372 47 52 43
ScZCZ4B_16.g681 129 47 208 178 226 117
ScZCZ4B_16.g682 0 0 0 0 0 0
ScZCZ4B_16.g683 0 2 0 0 2 0
ScZCZ4B_16.g684 4 1 3 1929 1171 974
ScZCZ4B_16.g685 0 1 2 1071 809 730
ScZCZ4B_16.g686 0 0 0 0 0 2
ScZCZ4B_16.g687 0 0 4 0 0 0
ScZCZ4B_16.g688 5 4 0 8 0 3
ScZCZ4B_16.g689 0 0 2 0 0 0
ScZCZ4B_16.g69 24 2 51 9 10 4
ScZCZ4B_16.g690 0 0 0 0 0 0
ScZCZ4B_16.g691 0 0 0 0 0 0
ScZCZ4B_16.g692 24 5 45 11 15 7
ScZCZ4B_16.g693 0 0 0 0 0 0
ScZCZ4B_16.g694 0 0 4 0 2 2
ScZCZ4B_16.g695 16 1 4 0 0 0
ScZCZ4B_16.g696 0 0 0 0 0 0
ScZCZ4B_16.g697 0 0 0 2 0 0
ScZCZ4B_16.g698 0 0 0 0 0 0
ScZCZ4B_16.g699 0 0 0 0 0 0
ScZCZ4B_16.g70 46 27 63 12 0 2
ScZCZ4B_16.g700 5 6 34 0 0 1
ScZCZ4B_16.g701 583 232 1125 77 93 40
ScZCZ4B_16.g702 10 4 20 5 6 0
ScZCZ4B_16.g703 405 203 449 110 733 185
ScZCZ4B_16.g704 57 16 98 20 27 14
ScZCZ4B_16.g705 9 0 15 2 1 0
ScZCZ4B_16.g706 19 4 50 4 0 5
ScZCZ4B_16.g707 81 10 88 16 30 7
ScZCZ4B_16.g708 279 30 588 58 26 29
ScZCZ4B_16.g709 0 0 0 0 0 0
ScZCZ4B_16.g71 71 22 119 6 7 8
ScZCZ4B_16.g710 84 11 205 10 14 9
ScZCZ4B_16.g711 0 0 2 0 2 0
ScZCZ4B_16.g712 14 0 27 4 2 2
ScZCZ4B_16.g713 925 461 1565 504 675 568
ScZCZ4B_16.g714 399 115 1112 0 5 2
ScZCZ4B_16.g715 8 2 12 1 0 6
ScZCZ4B_16.g716 0 0 0 0 0 0
ScZCZ4B_16.g717 4 0 12 0 3 0
ScZCZ4B_16.g718 0 0 1 0 0 0
ScZCZ4B_16.g719 0 0 2 2 6 0
ScZCZ4B_16.g72 84 54 196 13 6 6
ScZCZ4B_16.g720 0 0 0 1 1 0
ScZCZ4B_16.g721 0 0 0 0 0 0
ScZCZ4B_16.g722 0 0 0 0 0 0
ScZCZ4B_16.g723 1693 1340 4105 134 183 94
ScZCZ4B_16.g724 124 78 284 134 137 37
ScZCZ4B_16.g725 81 9 106 34 57 15
ScZCZ4B_16.g726 9 0 10 4 4 0
ScZCZ4B_16.g727 0 2 1 0 2 0
ScZCZ4B_16.g728 0 0 0 0 0 0
ScZCZ4B_16.g729 0 0 0 0 0 0
ScZCZ4B_16.g73 60 7 134 56 32 40
ScZCZ4B_16.g730 0 0 2 0 0 0
ScZCZ4B_16.g731 0 0 0 0 0 0
ScZCZ4B_16.g732 0 0 0 0 0 0
ScZCZ4B_16.g733 0 0 0 0 0 0
ScZCZ4B_16.g734 1 2 0 0 0 0
ScZCZ4B_16.g735 0 0 0 0 0 0
ScZCZ4B_16.g736 0 0 0 0 0 0
ScZCZ4B_16.g737 0 0 0 0 0 0
ScZCZ4B_16.g738 1 0 0 0 0 0
ScZCZ4B_16.g739 161 38 268 57 47 49
ScZCZ4B_16.g74 0 0 4 0 6 2
ScZCZ4B_16.g740 8 10 14 2913 4442 2138
ScZCZ4B_16.g741 9 4 3 1 2 0
ScZCZ4B_16.g742 0 0 0 0 0 0
ScZCZ4B_16.g743 0 0 1 2 2 2
ScZCZ4B_16.g744 0 0 0 0 0 0
ScZCZ4B_16.g745 0 0 4 0 2 1
ScZCZ4B_16.g746 0 0 2 0 0 0
ScZCZ4B_16.g747 0 0 0 0 0 0
ScZCZ4B_16.g748 60 10 79 18 15 17
ScZCZ4B_16.g749 1 2 2 0 2 0
ScZCZ4B_16.g75 7 0 18 0 3 0
ScZCZ4B_16.g750 4 6 0 0 0 0
ScZCZ4B_16.g751 34 22 55 26 28 17
ScZCZ4B_16.g752 0 0 1 0 0 2
ScZCZ4B_16.g753 0 2 0 2 0 0
ScZCZ4B_16.g754 29 2 27 13 4 14
ScZCZ4B_16.g755 14 0 9 3 4 3
ScZCZ4B_16.g756 16 13 65 8 10 4
ScZCZ4B_16.g757 66 27 154 19 11 15
ScZCZ4B_16.g758 0 0 2 0 0 0
ScZCZ4B_16.g759 47 11 118 9 29 7
ScZCZ4B_16.g76 2 0 4 0 0 0
ScZCZ4B_16.g760 1681 679 2598 536 574 349
ScZCZ4B_16.g761 78 34 209 0 15 4
ScZCZ4B_16.g762 0 0 0 0 0 0
ScZCZ4B_16.g763 0 0 0 0 0 0
ScZCZ4B_16.g764 0 0 0 0 0 0
ScZCZ4B_16.g765 0 0 0 0 0 0
ScZCZ4B_16.g766 0 0 0 0 0 0
ScZCZ4B_16.g767 232 127 480 100 131 59
ScZCZ4B_16.g768 228 102 443 154 139 132
ScZCZ4B_16.g769 0 0 0 0 0 0
ScZCZ4B_16.g77 0 0 2 0 0 0
ScZCZ4B_16.g770 5 6 41 1 0 1
ScZCZ4B_16.g771 7 0 20 3 6 2
ScZCZ4B_16.g772 0 0 0 0 0 0
ScZCZ4B_16.g773 0 0 0 0 0 0
ScZCZ4B_16.g774 432 195 524 205 267 143
ScZCZ4B_16.g775 0 0 0 0 0 0
ScZCZ4B_16.g776 2 0 2 2 0 0
ScZCZ4B_16.g777 0 0 0 0 0 0
ScZCZ4B_16.g778 0 0 1 2 3 0
ScZCZ4B_16.g779 72 23 167 14 18 7
ScZCZ4B_16.g78 0 0 0 3 0 0
ScZCZ4B_16.g780 7 2 13 3 8 7
ScZCZ4B_16.g781 2 0 6 1 1 0
ScZCZ4B_16.g782 0 12 5 0 1 1
ScZCZ4B_16.g783 1 4 4 2 8 6
ScZCZ4B_16.g784 74 22 120 15 30 14
ScZCZ4B_16.g785 9 29 43 14 14 11
ScZCZ4B_16.g786 0 0 0 0 0 0
ScZCZ4B_16.g787 283 133 434 216 314 157
ScZCZ4B_16.g788 19 5 30 5 13 9
ScZCZ4B_16.g789 0 0 0 0 0 0
ScZCZ4B_16.g79 9 0 30 2 3 0
ScZCZ4B_16.g790 0 0 0 0 0 0
ScZCZ4B_16.g791 0 0 0 4 0 1
ScZCZ4B_16.g792 2 3 5 1 0 1
ScZCZ4B_16.g793 0 0 9 0 5 2
ScZCZ4B_16.g794 0 2 0 0 0 0
ScZCZ4B_16.g795 2 0 4 2 9 2
ScZCZ4B_16.g796 1 0 2 2 2 16
ScZCZ4B_16.g797 3 0 2 1 4 2
ScZCZ4B_16.g798 2 0 0 0 0 0
ScZCZ4B_16.g799 0 0 1 0 0 0
ScZCZ4B_16.g80 0 0 19 0 0 0
ScZCZ4B_16.g800 120 257 326 320 431 167
ScZCZ4B_16.g801 93 122 315 166 262 93
ScZCZ4B_16.g802 0 4 6 6 6 3
ScZCZ4B_16.g803 0 2 0 0 4 0
ScZCZ4B_16.g804 0 0 0 0 0 0
ScZCZ4B_16.g805 14 2 22 0 15 2
ScZCZ4B_16.g806 1778 1021 2720 706 687 405
ScZCZ4B_16.g807 0 0 3 0 0 0
ScZCZ4B_16.g808 470 143 1136 80 98 46
ScZCZ4B_16.g809 309 120 479 263 233 174
ScZCZ4B_16.g81 1 0 0 0 0 0
ScZCZ4B_16.g810 66 12 182 3 25 16
ScZCZ4B_16.g811 28 0 27 2 4 6
ScZCZ4B_16.g812 97 9 125 19 25 41
ScZCZ4B_16.g813 319 176 482 90 126 69
ScZCZ4B_16.g814 165 55 404 96 128 78
ScZCZ4B_16.g815 97 33 262 26 31 28
ScZCZ4B_16.g816 13 4 7 3 6 1
ScZCZ4B_16.g817 8 0 9 5 5 0
ScZCZ4B_16.g818 2 0 0 0 0 2
ScZCZ4B_16.g819 31 9 45 8 8 9
ScZCZ4B_16.g82 2 0 0 0 0 0
ScZCZ4B_16.g820 2 0 3 0 0 0
ScZCZ4B_16.g821 4 11 30 0 4 0
ScZCZ4B_16.g822 84 37 246 17 34 17
ScZCZ4B_16.g823 49 15 106 7 20 10
ScZCZ4B_16.g824 78 19 188 24 22 16
ScZCZ4B_16.g825 197 42 411 40 46 20
ScZCZ4B_16.g826 268 80 435 35 73 34
ScZCZ4B_16.g827 49 16 35 4 3 8
ScZCZ4B_16.g828 52 7 99 5 2 3
ScZCZ4B_16.g829 116 26 277 59 95 45
ScZCZ4B_16.g83 0 0 0 0 0 0
ScZCZ4B_16.g830 26 0 24 6 1 4
ScZCZ4B_16.g831 41 22 92 50 62 24
ScZCZ4B_16.g832 52 14 86 48 38 18
ScZCZ4B_16.g833 9 0 12 7 24 4
ScZCZ4B_16.g834 8 0 5 0 3 2
ScZCZ4B_16.g835 187 74 451 224 312 190
ScZCZ4B_16.g836 0 0 0 0 0 0
ScZCZ4B_16.g837 0 0 10 0 0 0
ScZCZ4B_16.g838 26 2 18 0 7 0
ScZCZ4B_16.g839 2 0 1 0 0 0
ScZCZ4B_16.g84 37 4 79 1 1 6
ScZCZ4B_16.g840 1 0 5 0 0 0
ScZCZ4B_16.g841 0 0 3 0 0 0
ScZCZ4B_16.g842 37 4 69 9 17 5
ScZCZ4B_16.g843 20 14 37 5 6 0
ScZCZ4B_16.g844 0 0 0 0 0 0
ScZCZ4B_16.g845 123 40 275 42 28 11
ScZCZ4B_16.g846 16 1 9 5 3 3
ScZCZ4B_16.g847 131 38 256 12 18 12
ScZCZ4B_16.g848 43 4 114 5 6 0
ScZCZ4B_16.g849 525 126 845 127 172 123
ScZCZ4B_16.g85 0 0 0 0 0 0
ScZCZ4B_16.g850 17 11 59 10 38 22
ScZCZ4B_16.g851 1 0 9 1 1 3
ScZCZ4B_16.g852 0 0 0 0 0 0
ScZCZ4B_16.g853 1 0 0 2 0 0
ScZCZ4B_16.g854 2 2 3 0 0 0
ScZCZ4B_16.g855 2 0 2 0 0 4
ScZCZ4B_16.g856 2 0 6 1 0 0
ScZCZ4B_16.g857 4 6 0 5 3 2
ScZCZ4B_16.g858 0 0 0 2 6 0
ScZCZ4B_16.g859 21 9 28 6 17 3
ScZCZ4B_16.g86 7 0 21 0 6 2
ScZCZ4B_16.g860 2 2 6 7 2 1
ScZCZ4B_16.g861 5 4 4 3 0 1
ScZCZ4B_16.g862 2 2 6 2 0 0
ScZCZ4B_16.g863 0 0 0 0 0 0
ScZCZ4B_16.g864 0 0 0 0 0 0
ScZCZ4B_16.g865 0 0 0 0 0 0
ScZCZ4B_16.g866 2 2 0 0 3 0
ScZCZ4B_16.g867 0 0 0 0 1 0
ScZCZ4B_16.g868 0 0 0 0 0 0
ScZCZ4B_16.g869 0 0 2 2 0 0
ScZCZ4B_16.g87 0 1 0 2 2 0
ScZCZ4B_16.g870 0 0 2 0 0 0
ScZCZ4B_16.g871 0 0 0 2 0 0
ScZCZ4B_16.g872 766 90 998 332 343 197
ScZCZ4B_16.g873 21 9 28 8 15 7
ScZCZ4B_16.g874 1651 406 2538 361 593 363
ScZCZ4B_16.g875 350 101 830 41 42 27
ScZCZ4B_16.g876 92299 43035 135639 62301 70987 58038
ScZCZ4B_16.g877 6 3 4 2 1 0
ScZCZ4B_16.g878 0 2 0 0 0 0
ScZCZ4B_16.g879 0 0 0 0 0 0
ScZCZ4B_16.g88 0 0 0 0 0 0
ScZCZ4B_16.g880 0 0 2 0 0 0
ScZCZ4B_16.g881 0 0 0 0 0 0
ScZCZ4B_16.g882 2 0 0 0 2 0
ScZCZ4B_16.g883 0 0 0 1 0 0
ScZCZ4B_16.g884 0 0 0 0 0 0
ScZCZ4B_16.g885 0 0 11 1 3 0
ScZCZ4B_16.g886 0 2 0 2 2 2
ScZCZ4B_16.g887 83 27 99 33 73 49
ScZCZ4B_16.g888 15 2 8 7 3 1
ScZCZ4B_16.g889 5631 4778 9645 6554 6972 3750
ScZCZ4B_16.g89 3 0 4 0 0 0
ScZCZ4B_16.g890 20 30 30 19 36 4
ScZCZ4B_16.g891 587 428 1029 690 676 407
ScZCZ4B_16.g892 1135 597 2120 747 778 506
ScZCZ4B_16.g893 168 93 287 131 143 91
ScZCZ4B_16.g894 8 11 21 6 9 2
ScZCZ4B_16.g895 135 45 371 9 15 14
ScZCZ4B_16.g896 26 22 44 13 13 15
ScZCZ4B_16.g897 90 48 225 16 21 6
ScZCZ4B_16.g898 107 30 152 17 14 29
ScZCZ4B_16.g899 220 75 362 109 110 52
ScZCZ4B_16.g90 2 2 2 2 0 2
ScZCZ4B_16.g900 0 2 2 0 0 0
ScZCZ4B_16.g901 24 4 23 29 13 11
ScZCZ4B_16.g902 107 14 116 60 24 21
ScZCZ4B_16.g903 74 23 141 6 11 8
ScZCZ4B_16.g904 0 10 4 65 4 34
ScZCZ4B_16.g905 1066 972 2292 178 182 101
ScZCZ4B_16.g906 148 74 337 38 75 27
ScZCZ4B_16.g907 216 64 440 24 47 33
ScZCZ4B_16.g908 0 4 0 2 0 0
ScZCZ4B_16.g909 2 0 7 0 0 0
ScZCZ4B_16.g91 139 13 290 6 9 26
ScZCZ4B_16.g910 7 2 18 7 3 5
ScZCZ4B_16.g911 1 2 0 0 0 0
ScZCZ4B_16.g912 0 0 0 0 0 0
ScZCZ4B_16.g913 3 4 10 0 2 0
ScZCZ4B_16.g914 1 0 1 0 2 0
ScZCZ4B_16.g915 7 0 26 1 2 2
ScZCZ4B_16.g916 0 2 6 0 0 0
ScZCZ4B_16.g917 4 0 6 0 0 0
ScZCZ4B_16.g918 8 0 1 0 0 0
ScZCZ4B_16.g919 0 0 0 0 0 0
ScZCZ4B_16.g92 95 16 190 3 9 23
ScZCZ4B_16.g920 2 0 9 0 4 0
ScZCZ4B_16.g921 708 438 1382 55 103 69
ScZCZ4B_16.g922 0 0 0 0 0 0
ScZCZ4B_16.g923 0 0 0 0 0 0
ScZCZ4B_16.g924 0 0 0 2 0 0
ScZCZ4B_16.g925 0 1 13 0 0 0
ScZCZ4B_16.g926 12 2 34 7 14 2
ScZCZ4B_16.g927 2 0 0 0 0 0
ScZCZ4B_16.g928 162 52 309 41 67 31
ScZCZ4B_16.g929 470 92 753 199 280 145
ScZCZ4B_16.g93 83 12 172 27 10 18
ScZCZ4B_16.g930 5 4 8 0 0 2
ScZCZ4B_16.g931 19 3 28 29 24 20
ScZCZ4B_16.g932 0 0 0 0 0 0
ScZCZ4B_16.g933 0 0 1 0 0 0
ScZCZ4B_16.g934 0 0 0 0 0 0
ScZCZ4B_16.g935 2 0 2 2 0 0
ScZCZ4B_16.g936 7 4 25 3 2 4
ScZCZ4B_16.g937 0 0 0 0 0 0
ScZCZ4B_16.g938 162 87 179 115 179 103
ScZCZ4B_16.g939 684 171 960 309 545 329
ScZCZ4B_16.g94 33 20 58 2 14 6
ScZCZ4B_16.g940 180 106 345 102 134 93
ScZCZ4B_16.g941 3 0 18 5 0 7
ScZCZ4B_16.g942 84 6 160 25 21 17
ScZCZ4B_16.g943 184 42 318 31 67 34
ScZCZ4B_16.g944 0 0 0 0 2 0
ScZCZ4B_16.g945 62 8 134 16 18 30
ScZCZ4B_16.g946 152 45 111 47 60 48
ScZCZ4B_16.g947 38 27 58 18 17 4
ScZCZ4B_16.g948 23 2 25 0 6 4
ScZCZ4B_16.g949 25 12 49 0 2 0
ScZCZ4B_16.g95 0 0 0 0 0 0
ScZCZ4B_16.g950 174 33 292 31 23 17
ScZCZ4B_16.g951 46 6 93 10 2 5
ScZCZ4B_16.g952 55 40 153 7 16 12
ScZCZ4B_16.g953 27 2 52 7 7 16
ScZCZ4B_16.g954 130 50 264 56 31 23
ScZCZ4B_16.g955 21 21 48 13 7 19
ScZCZ4B_16.g956 40 11 99 9 12 25
ScZCZ4B_16.g957 69 37 139 37 48 10
ScZCZ4B_16.g958 68 15 94 7 4 5
ScZCZ4B_16.g959 2 4 16 18 20 6
ScZCZ4B_16.g96 0 0 1 0 0 0
ScZCZ4B_16.g960 462 174 897 120 112 76
ScZCZ4B_16.g961 30 12 64 7 11 18
ScZCZ4B_16.g962 0 1 12 0 0 3
ScZCZ4B_16.g963 109968 34169 94934 70649 94692 59256
ScZCZ4B_16.g964 59 18 80 21 35 34
ScZCZ4B_16.g965 450 126 703 99 173 155
ScZCZ4B_16.g966 106 17 228 18 26 6
ScZCZ4B_16.g967 10 0 23 0 2 0
ScZCZ4B_16.g968 16 20 43 0 0 0
ScZCZ4B_16.g969 0 0 0 0 0 0
ScZCZ4B_16.g97 0 0 1 0 0 0
ScZCZ4B_16.g970 6 0 0 0 0 0
ScZCZ4B_16.g971 0 0 0 0 0 0
ScZCZ4B_16.g972 165 38 191 25 95 59
ScZCZ4B_16.g973 11 5 6 2 6 2
ScZCZ4B_16.g974 0 0 0 0 0 0
ScZCZ4B_16.g975 72 29 151 24 48 42
ScZCZ4B_16.g976 2 0 5 0 0 0
ScZCZ4B_16.g977 0 0 2 0 0 0
ScZCZ4B_16.g978 886 272 1724 272 445 395
ScZCZ4B_16.g979 31 24 65 10 11 18
ScZCZ4B_16.g98 0 0 4 2 0 0
ScZCZ4B_16.g980 172 49 365 55 99 84
ScZCZ4B_16.g981 26 18 61 7 20 8
ScZCZ4B_16.g982 10 12 36 8 6 5
ScZCZ4B_16.g983 27 0 32 7 5 11
ScZCZ4B_16.g984 14 0 25 4 5 8
ScZCZ4B_16.g985 82 8 197 3 10 3
ScZCZ4B_16.g986 116 13 218 13 15 6
ScZCZ4B_16.g987 0 0 0 0 0 0
ScZCZ4B_16.g988 1 0 0 0 0 0
ScZCZ4B_16.g989 0 0 0 0 0 0
ScZCZ4B_16.g99 0 0 0 0 0 0
ScZCZ4B_16.g990 0 0 8 0 4 0
ScZCZ4B_16.g991 31 8 69 11 10 12
ScZCZ4B_16.g992 514 182 1080 148 143 105
ScZCZ4B_16.g993 266 124 600 43 71 30
ScZCZ4B_16.g994 108 32 202 35 47 37
ScZCZ4B_16.g995 133 18 225 19 35 9
ScZCZ4B_16.g996 5 0 11 0 0 0
ScZCZ4B_16.g997 50 7 89 9 5 11
ScZCZ4B_16.g998 13 0 0 1 0 0
ScZCZ4B_16.g999 10 2 38 2 22 8
ScZCZ4B_160.g7011 35 15 51 49 38 35
ScZCZ4B_160.g7012 0 0 0 0 0 0
ScZCZ4B_160.g7013 0 0 0 0 0 0
ScZCZ4B_1603.g1174 485 273 770 149 284 169
ScZCZ4B_1603.g1175 18 19 42 5 27 2
ScZCZ4B_1603.g1176 19 29 62 5 10 8
ScZCZ4B_16032.g5929 0 0 0 0 0 0
ScZCZ4B_16074.g1297 0 0 0 0 0 0
ScZCZ4B_16085.g6877 0 0 0 0 0 0
ScZCZ4B_161.g6916 90 37 119 16 43 17
ScZCZ4B_1610.g4575 54 12 64 10 3 3
ScZCZ4B_1612.g4188 0 0 0 0 0 0
ScZCZ4B_16133.g7009 10 24 50 18 13 7
ScZCZ4B_1616.g1145 0 0 0 0 0 0
ScZCZ4B_1619.g1390 108 64 229 29 57 39
ScZCZ4B_1619.g1391 51 16 119 36 51 14
ScZCZ4B_1619.g1392 175 39 363 11 11 3
ScZCZ4B_1619.g1393 332 208 686 198 380 197
ScZCZ4B_1619.g1394 29 4 40 6 6 8
ScZCZ4B_1619.g1395 235 39 543 65 80 48
ScZCZ4B_1619.g1396 0 1 5 0 4 0
ScZCZ4B_1619.g1397 95 15 111 34 63 23
ScZCZ4B_1619.g1398 672 367 1419 164 284 159
ScZCZ4B_1619.g1399 0 0 3 0 2 0
ScZCZ4B_162.g4316 330 253 542 159 184 131
ScZCZ4B_162.g4317 211 127 355 111 143 49
ScZCZ4B_162.g4318 3 1 8 0 7 1
ScZCZ4B_1621.g18361 0 0 0 0 0 0
ScZCZ4B_1621.g18362 0 0 1 0 0 0
ScZCZ4B_1622.g2689 11 3 16 4 6 5
ScZCZ4B_16270.g2662 13 4 7 0 8 1
ScZCZ4B_16295.g18292 31 14 45 2 30 24
ScZCZ4B_163.g15206 14 0 2 8 23 3
ScZCZ4B_163.g15207 4 0 9 0 2 2
ScZCZ4B_1630.g4446 0 0 0 0 0 1
ScZCZ4B_16303.g18271 0 0 0 0 0 0
ScZCZ4B_16319.g1124 0 0 1 0 0 0
ScZCZ4B_1632.g2314 0 0 0 0 0 0
ScZCZ4B_1633.g1081 0 0 0 0 0 0
ScZCZ4B_16334.g2276 0 0 0 0 0 0
ScZCZ4B_1636.g18228 0 0 0 0 0 0
ScZCZ4B_1636.g18229 1002 511 2152 483 591 339
ScZCZ4B_16361.g5927 36 10 49 8 11 3
ScZCZ4B_16370.g18352 0 0 0 0 0 0
ScZCZ4B_16374.g4437 0 0 0 0 0 0
ScZCZ4B_1639.g2469 3 0 31 0 0 2
ScZCZ4B_16417.g2478 0 0 0 0 0 0
ScZCZ4B_1645.g13098 19 20 28 2 4 4
ScZCZ4B_1646.g9399 0 0 0 0 0 0
ScZCZ4B_16477.g7274 10 0 44 8 6 0
ScZCZ4B_16493.g19952 0 0 4 5 0 0
ScZCZ4B_165.g6924 0 0 0 0 0 0
ScZCZ4B_165.g6925 0 0 4 0 0 0
ScZCZ4B_165.g6926 0 0 2 0 0 0
ScZCZ4B_165.g6927 0 0 0 0 0 1
ScZCZ4B_1650.g18200 53 27 113 85 57 29
ScZCZ4B_16523.g12871 4 2 3 2 2 0
ScZCZ4B_16527.g4130 15 5 22 8 10 0
ScZCZ4B_16529.g4137 0 0 5 0 0 0
ScZCZ4B_1653.g18297 100 31 141 49 50 53
ScZCZ4B_16545.g5922 4 0 8 0 0 0
ScZCZ4B_16561.g5919 0 0 2 0 0 0
ScZCZ4B_1657.g4611 1 0 0 0 0 0
ScZCZ4B_16572.g1126 0 0 0 0 0 0
ScZCZ4B_166.g1123 1 0 0 0 0 0
ScZCZ4B_16603.g1365 0 0 0 0 0 0
ScZCZ4B_1663.g4268 0 1 1 0 0 0
ScZCZ4B_16645.g12998 4 2 9 0 0 2
ScZCZ4B_1668.g10738 0 0 2 0 0 0
ScZCZ4B_16681.g1046 8 6 27 0 0 0
ScZCZ4B_16688.g19967 0 0 0 0 0 0
ScZCZ4B_16707.g6895 0 0 0 0 0 0
ScZCZ4B_16707.g6896 3 0 1 4 0 12
ScZCZ4B_1671.g2666 9 0 72 2 0 5
ScZCZ4B_16719.g15079 0 0 0 0 0 0
ScZCZ4B_1672.g7357 80 12 132 24 15 3
ScZCZ4B_16747.g1299 0 0 4 0 0 0
ScZCZ4B_1675.g17963 0 0 0 0 0 0
ScZCZ4B_16756.g6979 0 0 0 0 0 0
ScZCZ4B_16769.g2656 0 0 0 0 0 0
ScZCZ4B_168.g13141 0 0 0 0 0 0
ScZCZ4B_16807.g2371 0 0 0 0 0 0
ScZCZ4B_16815.g4401 0 0 0 0 0 0
ScZCZ4B_16838.g18039 0 0 0 0 0 0
ScZCZ4B_16851.g4285 0 0 1 3 0 0
ScZCZ4B_1686.g4199 4 0 7 1 5 0
ScZCZ4B_1687.g1074 3 2 4 2 5 2
ScZCZ4B_1691.g10771 25 0 35 3 4 5
ScZCZ4B_16976.g17989 16 2 19 0 1 1
ScZCZ4B_170.g1148 0 0 0 0 0 0
ScZCZ4B_170.g1149 272 116 525 87 111 54
ScZCZ4B_1703.g2668 0 0 0 0 0 0
ScZCZ4B_17047.g7372 29 6 48 13 23 14
ScZCZ4B_17054.g18368 0 0 0 0 0 0
ScZCZ4B_1709.g13034 0 0 0 0 0 2
ScZCZ4B_17118.g2418 2 2 3 0 0 0
ScZCZ4B_17144.g2450 2 0 15 0 0 0
ScZCZ4B_172.g4280 10 9 24 14 13 7
ScZCZ4B_1721.g13015 0 2 7 0 7 3
ScZCZ4B_17219.g7016 0 0 0 0 0 0
ScZCZ4B_1725.g4399 2 2 2 0 0 0
ScZCZ4B_1728.g1013 42 34 121 19 13 11
ScZCZ4B_17293.g13099 0 0 0 0 0 0
ScZCZ4B_1734.g2301 986 247 1705 373 372 286
ScZCZ4B_1735.g4139 0 0 0 0 0 0
ScZCZ4B_17359.g7284 0 2 4 2 0 2
ScZCZ4B_1736.g2391 0 0 0 2 0 2
ScZCZ4B_1738.g17965 2 0 4 0 0 0
ScZCZ4B_174.g13274 2 0 0 0 0 0
ScZCZ4B_174.g13275 441 112 690 174 136 115
ScZCZ4B_17436.g7376 0 0 0 0 0 0
ScZCZ4B_1744.g15126 1 0 0 0 0 0
ScZCZ4B_17457.g18369 3 2 21 10 5 1
ScZCZ4B_1747.g4500 0 2 5 0 0 0
ScZCZ4B_1747.g4501 0 0 0 0 0 0
ScZCZ4B_175.g7269 0 0 0 0 0 0
ScZCZ4B_175.g7270 0 0 0 0 0 0
ScZCZ4B_17509.g1142 9 7 23 6 8 3
ScZCZ4B_1752.g18084 0 0 0 0 0 0
ScZCZ4B_1753.g1284 16 38 32 10 11 10
ScZCZ4B_1754.g1314 439 232 813 162 162 115
ScZCZ4B_1756.g6987 57 12 91 139 119 36
ScZCZ4B_1756.g6988 16 0 49 3 10 13
ScZCZ4B_1756.g6989 4 1 1 0 0 0
ScZCZ4B_1757.g13248 7 0 5 0 5 4
ScZCZ4B_17573.g13045 0 0 0 0 0 0
ScZCZ4B_1759.g2363 0 0 0 0 0 0
ScZCZ4B_17620.g7114 0 0 2 0 2 0
ScZCZ4B_1763.g18078 0 0 0 0 0 0
ScZCZ4B_1769.g2378 0 0 0 0 0 0
ScZCZ4B_17694.g4239 14 0 2 0 0 0
ScZCZ4B_1772.g6991 4 0 0 0 0 0
ScZCZ4B_17767.g15133 4 13 8 5 4 6
ScZCZ4B_1779.g15159 9 6 61 7 3 4
ScZCZ4B_178.g7286 1146 329 2086 441 1029 453
ScZCZ4B_17806.g1130 0 0 0 0 0 0
ScZCZ4B_1782.g18000 0 0 0 0 0 0
ScZCZ4B_17827.g7143 0 0 0 0 0 0
ScZCZ4B_17869.g18279 2 4 6 0 0 0
ScZCZ4B_1789.g7309 63 27 116 110 73 46
ScZCZ4B_17893.g4255 2 0 0 0 0 1
ScZCZ4B_179.g1031 0 0 0 0 0 0
ScZCZ4B_179.g1032 0 0 0 0 0 0
ScZCZ4B_1790.g2267 4 0 0 4 0 0
ScZCZ4B_1791.g1317 115 60 232 36 62 47
ScZCZ4B_17932.g2449 0 0 0 0 0 0
ScZCZ4B_1794.g12867 0 2 4 0 0 0
