gene male1 male2 female1 female2 asexual1 asexual2
100158740 580 407 101 120 1203 904
100158742 5574 5331 2273 3751 1768 2349
100158743 421 353 68 138 114 139
100158745 395 356 211 232 629 444
100158746 131 105 109 185 146 226
100158747 1657 1319 1116 1445 2126 1706
100158748 6 0 3 4 1 1
100158749 806 697 479 784 816 735
100158750 911 775 731 726 1175 935
100158751 9 9 4 13 409 387
100158753 510 371 393 532 643 798
100158754 2694 2551 1050 2462 1576 2474
100158756 16 20 18 25 33 25
100158757 18 11 4 7 0 1
100158759 292 209 201 247 258 211
100158760 402 381 420 746 914 836
100158762 197 161 541 817 452 665
100158764 64 52 50 54 104 69
100158765 471 358 234 283 452 381
100158766 6050 5090 1993 2703 5277 3444
100158767 322 252 94 122 260 218
100158768 1161 826 2554 3960 3222 3014
100158769 210 139 261 385 379 459
100158770 5436 4592 2024 2336 5126 3307
100158771 561 509 865 985 874 796
100158772 1602 1127 385 788 957 905
100158774 1495 1162 1721 2040 2224 1858
100158775 199 182 512 584 934 628
100158776 48 44 10 11 81 107
100158779 0 0 0 0 0 0
100158780 1459 1255 1175 1411 1944 1411
100158781 369 262 202 300 543 440
100158782 918 713 908 1290 803 1010
100158783 588 1197 26 35 3244 2620
100158785 227 144 114 134 408 300
100158786 4 2 0 3 447 505
100158787 605 424 34 51 725 596
100158788 1151 969 1009 1030 2665 1377
100158789 1981 1866 123 197 280 230
100158790 384 313 425 527 1210 1040
100158791 1009 688 381 633 1876 1456
100158792 719 642 824 1241 899 1152
100158793 9 2 10 13 11 9
100158794 1222 873 4 16 1 2
100158795 0 0 0 4 1 2
100158796 949 1698 10 15 942 672
100158798 929 729 888 1463 1194 1028
100158799 6915 5194 1159 1799 1191 1118
100158802 582 417 89 122 978 722
100158803 369 251 348 452 375 354
100158804 3583 3151 2972 2886 4164 2404
100158806 2159 1477 1036 1361 3289 2358
100158807 0 0 2 2 2 1
100158808 15 9 112 117 19 28
100158810 877 821 869 1656 1348 1445
100158811 820 666 857 1110 923 890
100158812 192 148 105 119 245 148
100158813 491 430 364 451 791 629
100158815 152 117 283 560 195 311
100158816 1313 985 470 766 657 704
100158818 611 531 646 755 723 654
100158819 106 102 733 661 711 572
100158821 417 336 324 359 480 348
100158822 10654 8474 5299 6446 14187 12405
100158825 65 57 5 5 16 22
100158826 2756 2063 174 427 1741 1996
100158827 207 171 232 525 211 344
100158828 217 210 798 1024 981 1005
100158829 0 0 0 7 0 0
100158830 314 311 725 1210 642 813
100158831 0 0 0 0 0 0
100158832 310 208 356 474 340 296
100158833 1637 1244 2536 4459 5949 6206
100158834 9258 6902 3137 4442 9013 8078
100158835 1156 1002 925 2413 1886 2379
100158837 69 56 306 733 130 200
100158838 769 642 569 855 1322 1491
100158839 91 80 16 33 56 46
100158840 2033 1482 474 1432 1587 2126
100158841 183 152 164 180 417 278
100158842 505 400 575 713 761 758
100158843 190 133 119 284 176 313
100158844 561 414 348 638 572 757
100158845 992 824 92 115 1703 1349
100158849 2546 2213 2085 2929 4098 3547
100158850 448 341 410 430 745 537
100158851 49 37 3 3 35 29
100158852 0 0 0 0 0 0
100158853 51 47 0 0 0 3
100158854 618 443 587 637 562 483
100158855 276 219 173 535 1088 1453
100158856 1334 1102 1735 2638 2555 2321
100158857 1297 1443 2485 2979 11474 7880
100158858 1051 917 647 936 1394 1116
100158859 1648 1557 908 1085 1952 1569
100158860 91 86 0 0 2 8
100158861 275 300 325 298 601 483
100158862 347 211 344 399 769 540
100158863 0 0 0 0 0 0
100158864 148 133 175 244 149 129
100158866 2754 2655 4149 4544 12683 10983
100158867 5194 4673 304 544 848 976
100158868 375 300 491 483 448 296
100158869 17 14 1146 3007 113 188
100158870 757 1052 7 31 6375 3466
100158872 2370 2098 778 900 1674 1627
