gene male1 male2 female1 female2 asexual1 asexual2
100161713 417 321 24 44 573 446
100161716 30 38 13 33 43 29
100161717 816 619 266 670 798 1059
100161720 340 260 416 403 238 217
100161721 1742 1313 314 396 944 669
100161722 1681 1484 1436 1616 2601 2249
100161723 102 86 335 563 124 200
100161724 374 313 188 248 540 535
100161725 1238 993 258 490 1174 1252
100161726 709 546 124 146 438 325
100161727 40 46 2 12 40 35
100161728 1 2 0 0 109 114
100161729 2249 1637 476 685 4207 3570
100161732 137 108 12 63 115 174
100161733 947 767 454 983 863 1294
100161735 419 301 628 682 663 646
100161737 1472 1104 1569 2842 1045 1533
100161738 331 255 323 498 775 795
100161739 468 364 433 418 1058 514
100161740 1063 890 685 915 1798 1438
100161742 10994 8088 2915 3734 1810 1914
100161743 14 2 3 6 207 213
100161744 49 32 3 6 47 43
100161745 14 14 4 7 19 10
100161746 606 456 543 528 696 594
100161747 1040 861 82 140 370 236
100161748 3 4 3 3 8 6
100161749 951 760 604 834 1121 1547
100161750 1771 1602 120 191 410 331
100161752 3593 2827 2298 3897 4308 4969
100161754 5 13 3 1 4 2
100161755 564 447 147 216 561 498
100161757 630 441 681 1133 823 825
100161758 782 648 576 1249 653 965
100161759 1398 1189 6 3 6 7
100161760 2846 2210 902 1438 1514 1504
100161761 2747 1984 529 756 528 334
100161762 442 336 467 523 751 539
100161763 559 478 721 941 3015 1419
100161764 131 99 347 397 239 251
100161765 1971 1624 1593 2168 5303 3449
100161766 16 7 2 0 903 495
100161768 116 84 56 77 103 120
100161769 253 275 106 359 268 442
100161770 243 173 22 145 124 155
100161771 566 412 113 156 601 535
100161772 4456 2771 644 863 4729 2879
100161775 297 236 316 607 400 597
100161777 93 47 124 237 448 573
100161778 413 306 616 878 739 558
100161779 244 200 21 43 103 77
100161780 75 81 285 443 272 362
100161781 96 104 16 93 151 217
100161782 632 624 487 1555 748 1372
100161783 11 6 10 3 30 32
100161784 2089 1705 924 1035 2356 1765
100161785 445 350 493 781 506 795
100161786 29176 20390 513 633 992 555
100161787 521 464 301 459 664 559
100161789 296 196 134 181 1150 695
100161790 156 93 201 275 213 246
100161791 573 511 637 1583 1080 1718
100161792 3655 2819 547 748 6046 3345
100161793 73 43 7 8 336 536
100161794 69 87 1135 1416 905 779
100161796 1572 1407 2091 3021 3822 3637
100161797 256 216 811 1013 831 746
100161799 1201 912 139 178 918 618
100161800 593 497 873 1147 996 720
100161801 378 319 926 1063 1956 1416
100161802 206 164 202 251 322 263
100161803 61 46 2 13 92 60
100161804 63 41 1 8 90 60
100161805 869 690 989 1226 2434 1397
100161806 1 0 1 1 319 235
100161808 136 103 300 244 196 141
100161809 164 126 763 633 556 363
100161810 858 718 948 1666 2760 2660
100161811 2218 1925 814 1159 2009 1132
100161812 0 0 0 0 0 0
100161813 830 580 355 411 662 402
100161814 7 5 83 127 26 16
100161815 782 651 657 964 747 807
100161816 1398 1020 365 572 878 918
100161820 131 117 165 232 261 201
100161821 517 428 253 429 284 461
100161822 675 555 560 619 636 587
100161823 636 502 365 630 568 861
100161824 655 482 105 196 1573 1074
100161826 382 297 556 980 811 1043
100161828 413 327 277 413 345 469
100161829 12 11 0 1 27 20
100161830 443 392 1446 1925 631 743
100161831 1043 779 453 636 882 655
100161832 3574 2786 242 324 362 320
100161833 561 501 356 636 894 973
100161835 0 0 3 1 0 0
100161836 267 240 412 512 415 463
100161838 78 52 21 11 82 77
100161839 316 209 27 48 583 361
100161840 258 234 1513 2082 1515 1582
100161841 115 73 12 29 152 101
100161842 1173 1031 5680 9550 8769 12514
100161843 168 150 15 28 140 92
100161844 279 238 243 473 388 535
100161845 1318 992 369 810 1066 1330
100161846 522 351 344 676 707 696
100161848 51 45 1 4 3 4
100161850 1336 1035 1009 1063 2365 1639
100161851 82 83 212 249 209 192
100161852 6 3 5 6 10 6
100161855 3 5 0 0 0 1
100161856 63 40 23 21 109 69
100161857 447 365 478 1148 709 1110
100161858 97 92 281 473 245 374
100161859 7 3 14 25 132 66
100161860 3 1 904 1000 65 73
100161861 215 174 333 458 456 374
100161862 714 662 1524 1418 2623 1658
100161863 28 30 34 60 35 43
100161864 1599 1158 313 883 467 750
100161865 2097 1642 1041 1677 2205 2496
100161866 68 51 15 11 74 41
100161867 933 695 305 456 838 648
100161868 276 191 505 771 561 569
100161869 3623 3259 1551 1648 4097 2397
100161870 229 205 260 512 328 468
100161871 92 65 200 191 171 136
100161874 130 92 30 46 1157 788
100161876 11 9 17 17 3 2
100161877 160 116 115 167 167 250
100161878 405 308 64 95 191 131
100161879 79 70 271 485 95 136
100161881 212 156 223 262 171 162
100161882 10 10 6 1 427 243
100161883 771 566 244 349 486 397
100161884 55 31 2 4 367 228
100161885 250 162 50 79 267 204
100161886 388 367 152 182 558 339
100161887 8914 6247 2051 2491 2624 1581
100161888 659 516 751 967 802 788
100161889 294 249 28 37 87 121
100161890 553 447 380 477 682 696
100161891 157 153 282 1010 262 516
100161893 260 205 532 812 278 364
100161895 612 467 507 1111 1128 1363
100161896 749 607 822 851 2223 1374
100161897 216 178 314 329 339 212
100161898 29 27 36 46 10 5
100161899 251 209 21 43 70 88
100161902 1073 777 410 662 874 701
100161903 382 277 41 63 290 205
100161905 484 321 353 376 264 195
100161906 467 316 777 818 893 824
100161909 231 140 939 988 677 502
100161910 46 36 57 89 13 9
100161911 36 41 1 2 21 25
100161913 203 193 460 535 291 320
100161914 407 367 819 865 936 731
100161916 295 251 962 875 352 240
100161917 3817 2405 2 1 2 0
100161918 343 219 314 371 413 357
100161919 380 307 7 25 24 23
100161920 0 0 10 11 56 28
100161922 1009 1099 848 897 1206 990
100161925 824 638 589 637 1784 1037
100161926 163 151 174 499 154 325
100161927 19 10 20 15 1179 968
100161928 507 347 361 503 693 499
100161929 297 264 20 28 183 243
100161930 299 234 11 14 265 202
100161931 628 507 2011 2220 2928 2108
100161933 587 446 25 44 261 169
100161935 11 8 35 55 43 63
100161936 307 255 12 37 49 61
100161937 318 189 262 372 382 260
100161938 813 702 1994 2481 6588 6387
100161939 2123 1555 661 673 1611 1101
100161940 3281 2514 1118 1268 1372 1191
100161941 1272 924 1332 2391 2118 2348
100161942 543 766 141 268 202 153
100161944 712 483 569 714 1485 885
100161945 1 1 0 0 0 0
100161946 1922 1556 1 3 5 6
100161947 201 159 374 623 505 533
100161949 13 7 8 9 387 310
100161950 176 126 133 167 147 138
100161954 848 591 928 955 1356 996
100161956 1865 1312 1064 1718 1446 1393
100161957 7 2 0 0 23 14
100161958 1 1 0 2 337 235
100161960 384 352 421 780 477 685
100161961 3378 2715 1128 1858 861 947
100161962 222 147 455 414 433 243
100161964 858 604 834 1000 931 520
100161965 757 632 70 111 394 429
100161967 751 684 540 657 855 912
100161968 990 686 475 591 1247 928
100161969 290 238 681 970 405 525
100161970 8931 6631 4800 6906 15696 9911
100161971 214 160 31 121 243 281
100161972 61 53 0 0 0 0
100161974 1281 1086 728 826 1497 907
100161975 534 439 1333 1623 1338 1411
100161976 7001 5589 6155 6095 14921 9770
100161977 565 463 1074 1660 998 1456
100161979 6 3 0 0 0 0
100161981 352 238 244 376 381 546
100161982 11 7 0 3 6 12
100161983 6416 4861 1678 2014 2328 2114
100161984 439 347 477 921 772 1036
100161986 262 200 280 441 330 388
100161987 3155 2454 1603 2002 4838 2932
100161988 822 562 141 220 2331 1671
100161989 842 665 1381 1728 1603 1440
100161990 105 88 128 136 184 148
100161991 480 360 541 574 1049 740
100161992 53 35 1 6 12 17
100161993 1178 977 1241 2039 2433 2388
100161994 0 0 0 0 0 0
100161995 21 15 0 0 0 0
100161996 6 4 41 43 12 7
100161999 1 0 0 0 0 0
100162000 304 215 415 437 450 291
100162001 714 471 463 564 610 625
100162002 180 141 322 452 281 364
100162003 579 432 498 879 1038 830
100162005 130 105 586 650 243 217
100162006 18 18 607 488 249 162
100162008 273 149 468 465 425 348
100162009 0 0 0 0 0 1
100162010 0 0 0 0 13 24
100162011 2420 1768 3 7 6 14
100162013 94 57 21 20 101 89
100162014 577 537 1002 1240 1710 1711
100162015 27 26 740 726 132 153
100162017 403 344 80 119 441 296
100162018 797 559 106 165 482 332
100162019 20 8 2 4 185 276
100162020 2404 2094 340 589 185 217
100162021 209 140 376 351 268 178
100162022 104 59 178 203 201 133
100162023 1373 1125 1315 1970 4139 2882
100162024 855 629 443 631 1172 765
100162025 253 205 46 78 7064 4868
100162026 195 102 59 119 233 245
100162027 122 120 560 585 760 659
100162028 9 17 42 74 36 57
100162029 721 534 1007 1013 862 666
100162030 1287 1038 566 679 1137 831
100162031 67 61 211 245 147 208
100162033 2213 1751 1938 4366 2943 3479
100162034 4 6 0 0 26 20
100162035 2470 2364 2313 2437 4247 2999
100162036 437 555 34 59 522 210
100162037 1206 882 934 1679 1421 1951
100162039 256 168 13 22 395 272
100162040 1141 869 239 315 1204 730
100162042 13462 11985 5971 10133 18272 15728
100162043 127 83 156 277 264 244
100162044 635 481 792 1363 1410 1750
100162045 1569 1226 948 1376 3026 2936
100162048 1 0 0 0 306 248
100162050 199 233 17 14 297 191
100162051 6449 5175 2072 3420 2607 2766
100162052 138 120 139 188 157 206
100162053 1194 881 595 851 2260 1553
100162054 37 27 4 5 74 46
100162055 1420 1028 250 772 773 1147
100162056 1391 1096 598 987 577 631
100162057 28431 23937 16 5 15 14
100162058 0 0 0 0 0 0
100162059 512 380 467 645 517 512
100162060 368 290 36 71 111 84
100162061 1457 1166 745 1834 1802 2554
100162062 246 297 4 12 2411 2009
100162064 1322 1088 797 1482 4625 4559
100162065 331 266 32 82 262 207
100162066 2435 2232 754 1002 4833 5202
100162067 480 336 269 245 715 354
100162068 44 37 720 1351 808 1158
100162069 801 612 367 538 563 711
100162070 541 447 542 624 438 498
100162071 11 10 6 15 95 51
100162073 92 72 18 49 106 95
100162075 101 88 778 1299 944 1125
100162077 103 89 141 164 189 165
100162078 7 13 33 43 192 137
100162079 778 586 154 202 2170 1463
100162080 0 0 0 0 0 0
100162081 923 809 553 886 950 1050
100162082 589 432 499 475 1097 767
100162084 431 329 279 263 419 317
100162086 205 154 145 179 10 10
100162087 119 88 7 12 185 141
100162088 35 41 108 123 93 80
100162089 945 813 694 1224 679 885
100162090 1036 804 66 105 542 315
100162092 1301 1033 188 397 171 310
100162093 1037 874 1944 2917 2824 2977
100162094 95 142 1031 980 402 224
100162095 453 365 433 633 627 834
100162097 35 33 15 15 9 4
100162098 20 14 10 13 28 28
100162099 46 40 0 1 1 1
100162101 786 687 537 675 1010 866
100162102 1933 1622 3349 5159 6483 6808
100162104 34 21 0 0 0 0
100162105 8656 6584 4075 9377 10283 9423
100162106 854 701 561 757 1627 1243
100162107 620 420 755 724 848 518
100162110 207 159 8 15 290 176
100162111 255 181 34 35 114 66
100162113 38 46 1857 2566 382 433
100162114 9 13 0 0 3 3
100162115 6 1 2 4 19 7
100162116 1156 849 621 1148 1387 1523
100162117 429 342 19 27 126 127
100162119 2 2 1 7 2 1
100162120 8 2 0 2 27 17
100162121 53 50 367 825 371 535
100162122 706 482 358 642 1122 1205
100162123 217 197 241 439 242 326
100162124 5081 4538 6997 8031 27845 21766
100162125 91 63 366 403 212 230
100162126 1028 805 897 1593 2454 2600
100162127 1486 1066 1607 2804 2299 2516
100162128 5 11 185 314 208 275
100162129 1258 876 618 1200 841 1278
100162131 1323 1085 395 815 1090 1185
100162132 283 196 205 217 513 337
100162134 1856 1417 714 1059 1699 1304
100162135 942 727 638 754 2897 1634
100162137 14 26 2 6 15 14
100162138 1092 707 603 921 1049 1182
100162139 255 231 380 413 384 337
100162140 3475 2243 163 365 317 385
100162142 557 366 491 478 783 714
100162143 0 1 50 47 0 1
100162144 829 624 454 1305 951 1648
100162145 13 11 986 1158 161 217
100162146 650 503 2140 2157 526 486
100162147 220 203 287 310 765 442
100162149 2998 2470 47 90 547 632
100162150 405 314 514 1002 745 996
100162151 1015 840 48 101 467 532
100162155 3476 2492 1138 2047 1681 2160
100162156 437 322 353 308 842 517
100162161 843 683 530 699 1113 1003
100162163 427 291 258 369 10 10
100162164 787 535 666 879 760 732
100162167 145 99 125 135 219 157
100162168 72 53 170 351 212 281
100162169 1231 877 89 220 290 311
100162170 196 176 386 414 253 270
100162171 386 330 35 66 102 132
100162172 128 113 661 551 433 316
100162173 2354 2295 1631 1837 2765 1729
100162175 2900 2168 2485 3050 3289 2871
100162176 4491 4189 336 596 1050 1041
100162177 31 15 0 0 0 0
100162178 297 182 67 172 238 349
100162179 41 30 18 41 76 72
100162180 136 116 192 292 145 239
100162181 979 725 867 1597 837 1164
100162182 2719 2159 2996 3567 9640 6595
100162183 716 535 544 803 813 1110
100162185 200 192 153 225 247 261
100162186 0 0 0 0 0 0
100162187 0 1 0 0 0 0
100162188 94 95 84 78 113 116
100162189 6525 5776 3373 4447 8681 6106
100162191 269 212 77 231 153 347
100162193 33 13 7 13 5779 3581
100162196 0 0 0 0 0 0
100162197 165 113 247 238 348 340
100162198 67 34 245 216 193 148
100162199 1544 1231 752 938 2381 1593
100162200 212 164 164 181 556 436
100162201 703 551 223 231 729 602
100162202 221 164 296 266 448 402
100162203 750 615 275 306 1078 789
100162204 9 6 5 2 19 22
100162206 6 15 3 3 1943 2332
100162207 8 7 0 1 11 11
100162208 159 162 183 476 228 430
100162209 979 1129 2420 5043 1489 1509
100162211 326 301 335 426 594 554
100162212 225 171 272 460 348 472
100162213 4 1 155 172 22 20
100162214 405 333 353 437 668 566
100162215 0 0 0 1 0 0
100162216 1191 895 564 1258 810 1452
100162217 3373 2479 1062 1524 1199 916
100162218 8 10 75 82 7 1
100162219 331 273 417 498 581 534
100162220 365 251 116 143 704 481
100162222 2888 2494 995 1889 2349 2098
100162223 864 676 885 926 1187 1020
100162224 40 51 1009 789 461 291
100162225 630 496 552 686 1223 1059
100162226 704 552 541 629 794 644
100162227 701 535 435 555 636 643
100162228 1191 746 271 374 408 359
100162229 68 62 219 251 522 404
100162231 5566 3796 753 1201 6243 4860
100162233 1852 1470 1845 2141 3555 2331
100162234 448 353 211 405 421 529
100162237 1509 1117 955 1346 1848 1607
100162238 0 0 0 0 0 0
100162241 804 567 1068 1095 2148 1433
100162244 136 101 18 55 86 105
100162245 782 538 740 791 2066 1380
100162246 582 491 486 1141 919 1485
100162247 3 0 0 0 1 2
100162250 0 1 15 11 21 16
100162251 221 160 10 38 176 240
100162252 78 51 14 28 1006 692
100162253 175 162 0 0 0 0
100162254 491 391 141 340 348 552
100162255 1936 1559 2029 1989 4217 2479
100162256 6215 4818 2170 2613 6955 4288
100162257 649 547 734 1928 672 1200
100162258 317 304 286 680 375 521
100162259 177 157 191 256 205 198
100162260 25 20 1 15 431 418
100162262 25 32 6 6 44 68
100162264 278 259 11 49 157 261
100162265 175 126 110 118 520 361
100162266 295 226 480 544 372 448
100162267 579 521 431 721 599 769
100162268 4 3 0 0 0 0
100162269 113 102 271 242 220 161
100162270 183 169 28 35 768 674
100162271 56 43 258 326 185 228
100162272 1414 1182 1505 1839 760 1001
100162274 48 30 0 0 0 0
100162275 60 65 312 430 342 324
100162276 1301 1295 1498 1440 3163 2071
100162277 46 21 11 33 57 47
100162278 832 631 511 582 1847 1171
100162279 299 224 84 117 536 308
100162280 2364 2145 774 969 1346 823
100162281 158 105 183 194 183 239
100162282 529 387 441 535 729 701
100162284 496 440 407 763 845 1002
100162285 568 484 465 1395 973 1374
100162288 377 334 536 673 514 680
100162290 15381 11260 1457 1696 2576 1740
100162291 185 144 495 437 759 423
100162292 423 297 227 256 354 211
100162293 1 3 0 1 936 374
100162294 3 3 2 3 31 19
100162295 242 155 471 442 754 458
100162296 2042 1611 498 1046 790 1200
100162297 308 242 410 1255 458 827
100162298 1066 877 229 259 449 311
100162299 188 131 29 61 477 268
100162301 480 401 262 324 896 674
100162302 352 256 355 282 665 517
100162303 32 26 1 2 9 3
100162304 1156 940 473 708 1299 1242
100162305 1306 920 0 0 0 0
100162306 305 254 275 550 321 396
100162307 1166 945 1040 1428 1138 1537
100162308 278 189 105 171 440 313
100162309 477 347 38 56 586 568
100162310 65 44 92 101 142 147
100162311 403 326 779 839 535 403
100162313 1798 1427 1804 2738 3434 3354
100162314 206 149 36 47 549 450
100162316 2759 2361 1239 1668 3710 2248
100162318 908 774 230 255 817 516
100162319 8151 6251 2322 5761 3835 4587
100162320 461 341 489 1118 852 1351
100162321 439 370 164 250 405 370
100162322 2248 1881 2515 5347 6240 7246
100162324 1395 1186 3050 3738 4705 3103
100162325 293 215 131 390 240 403
100162326 986 660 901 1216 2431 2118
100162327 429 338 446 653 454 554
100162328 525 434 295 437 437 489
100162329 1 2 1 0 3 2
100162330 887 712 444 668 852 808
100162331 3283 2332 1236 1642 3196 2283
100162332 11 11 13 14 104 70
100162333 148 89 44 63 306 175
100162335 1860 1348 783 1245 1343 1376
100162337 1840 1218 507 1051 1413 1141
100162338 442 364 513 555 576 464
100162339 890 688 1360 2846 694 938
100162340 125 105 0 0 0 0
100162341 38 21 575 673 98 91
100162342 1566 1237 450 647 1406 1365
100162343 413 338 388 587 388 502
100162344 65 70 518 627 377 367
100162345 992 787 996 1284 1200 1070
100162346 4 12 0 0 48 29
100162347 178 182 0 0 0 0
100162351 3003 2564 1815 2264 3673 2533
100162352 466 363 363 716 680 895
100162353 153 103 0 1 0 0
100162356 1374 986 253 387 860 593
100162357 82 61 7 15 79 62
100162358 0 0 3 4 0 1
100162360 164 136 159 199 237 231
100162362 1481 1329 498 1374 1286 1712
100162363 7486 5793 1950 2187 4931 3845
100162364 13 11 143 171 127 74
100162365 278 188 518 523 683 396
100162366 1642 1238 7664 9203 4034 4449
100162367 276 281 351 355 750 558
100162369 786 604 117 152 228 128
100162370 732 623 42 64 304 156
100162371 11 8 1 0 1824 501
100162372 1143 953 182 279 255 167
100162374 2801 2203 1461 3078 1959 2476
100162375 920 641 803 835 1161 765
100162376 67 52 181 230 310 273
100162377 381 317 468 503 753 562
100162378 65 52 12 24 33 36
100162379 619 572 625 915 549 599
100162380 1143 940 664 1049 1315 1097
100162381 2 2 4 7 10 3
100162382 236 216 425 466 433 417
100162383 0 0 0 4 9 5
100162384 414 333 340 625 267 425
100162385 0 2 1 0 4 2
100162386 1710 1862 8452 8943 30433 15503
100162387 3269 2589 1192 1874 2756 2487
100162388 233 148 97 105 1255 889
100162389 60 34 17 43 80 89
100162390 95 71 875 1108 512 543
100162391 6600 4997 3679 4905 11674 7401
100162393 21388 16848 1636 2069 3543 2204
100162394 97 93 93 130 836 472
100162395 621 483 628 808 827 810
100162396 53 62 7 12 49 49
100162397 1012 863 535 987 609 895
100162398 850 592 1144 2012 1225 1602
100162399 3 4 2 1 0 1
100162400 859 703 578 758 871 963
100162401 1498 1302 1668 3173 5029 7261
100162402 1854 1371 1128 1398 2534 2199
100162403 567 414 316 342 781 734
100162404 320 252 283 452 539 685
100162405 752 595 777 933 1549 1054
100162406 79 75 6 6 162 109
100162407 479 406 441 798 642 881
100162408 785 524 1244 1224 1618 1100
100162409 1265 1061 482 777 1384 1456
100162410 1728 1509 645 1229 1041 1178
100162411 233 189 92 114 507 294
100162412 64 49 8 25 26 30
100162413 1415 1321 883 1562 2515 3383
100162414 691 491 343 429 1374 903
100162415 181 140 414 401 343 273
100162416 88 68 22 89 102 187
100162417 195 168 222 562 183 306
100162419 1129 890 1130 1553 3265 2828
100162420 12050 8821 4321 5210 6019 4088
100162421 507 380 180 253 313 379
100162422 320 255 479 546 2376 1420
100162423 154 147 108 160 154 225
100162424 7 1 0 0 0 0
100162425 248 219 145 334 327 569
100162426 684 571 446 1036 902 1419
100162427 1393 1010 318 770 503 749
100162428 53 25 48 49 121 91
100162429 6697 5253 1728 3435 5038 6146
100162430 49 55 3 9 3 6
100162432 261 184 373 343 340 273
100162433 328 242 633 793 546 664
100162434 232 185 45 64 315 234
100162435 319 322 20 30 409 265
100162436 128 105 96 200 128 180
100162437 1282 1119 2381 2754 5296 4482
100162438 662 480 1705 1874 5304 3080
100162439 12 11 1 1 22 51
100162440 21 10 0 0 0 1
100162441 4788 4048 7326 8682 29183 22060
100162443 695 606 239 415 517 639
100162444 3506 2883 3960 6089 6866 7022
100162445 341 272 72 294 426 533
100162446 668 544 470 647 1143 1089
100162447 1020 966 19 83 16 29
100162449 194 118 17 40 123 91
100162450 1875 1480 28 151 208 323
100162451 1755 1391 493 919 1197 1329
100162453 1485 1289 1709 3033 1967 2626
100162454 241 185 163 254 291 229
100162455 1234 967 701 1282 807 959
100162457 512 448 433 835 439 674
100162459 952 580 752 995 1348 909
100162460 26 37 3 13 2 3
100162461 168 131 312 519 200 253
100162462 622 430 335 379 715 498
100162463 1051 862 1310 1247 2799 1933
100162464 0 0 0 0 0 1
100162466 2419 1693 1675 3385 4652 4864
100162468 4 4 1 2 9 7
100162469 21 22 0 0 0 0
100162471 7 5 329 289 13 12
100162472 415 276 52 88 508 562
100162473 1398 1319 2670 2425 10978 6225
100162475 15589 11617 10330 13055 16335 11915
100162476 3646 2693 2371 2757 4510 3419
100162477 841 750 956 1228 966 1023
100162478 5 1 0 3 2 4
100162479 31 23 149 206 371 287
100162480 4386 4159 6568 6386 23947 12905
100162481 505 436 284 1066 370 575
100162483 113 103 227 239 131 199
100162486 29 28 80 102 11 23
100162487 70 53 14 19 481 298
100162488 508 386 548 554 391 513
100162489 1086 815 64 172 2870 2470
100162491 356 291 637 1119 605 880
100162492 527 458 166 246 1139 732
100162493 170 138 193 473 217 425
100162494 803 568 311 418 553 436
100162495 619 450 893 1475 1272 1549
100162496 227 156 191 410 511 593
100162497 23360 18269 1762 4698 4514 5014
100162498 10 6 0 0 0 0
100162499 331 427 59 108 9714 4969
100162500 390 291 65 112 10 13
100162501 1430 1169 1078 1388 2040 1702
100162502 24 23 1 4 16 7
100162503 1435 1084 400 556 587 504
100162504 671 475 220 529 438 877
100162505 162 142 138 294 201 290
100162507 32 31 0 0 0 0
100162508 2811 2224 1099 1867 2458 2250
100162509 317 260 95 144 249 141
100162510 926 672 374 732 978 1352
100162511 318 293 309 359 551 491
100162512 2243 1851 4125 5243 13230 11810
100162513 247 172 289 343 371 406
100162514 285 235 192 271 221 220
100162515 14 25 15 40 31 40
100162516 13 11 1 4 8 9
100162518 386 295 1246 1572 676 721
100162519 385 335 563 690 1224 1170
100162520 3084 2416 2085 4191 3929 5040
100162521 945 665 315 728 884 1225
100162522 1091 845 408 763 595 761
100162523 302 226 77 199 307 406
100162524 0 0 0 0 0 0
100162525 5 2 863 1358 94 102
100162526 1783 1223 1106 2214 1938 2126
100162528 0 0 1 2 7 12
100162529 2589 1917 1654 1878 2405 1988
100162530 1438 1155 753 802 2720 1574
100162532 389 271 457 574 344 310
100162533 536 462 550 1145 1103 1535
100162534 620 463 872 1221 1164 1033
100162535 180 159 490 472 465 346
100162536 84 83 35 52 89 71
100162537 77 44 355 460 244 187
100162539 9888 6856 1827 2375 5780 4270
100162540 224 190 172 193 250 265
100162541 581 460 1257 1519 1805 1631
100162543 892 708 718 918 1078 879
100162544 34 49 635 869 216 104
100162545 488 379 340 494 400 459
100162546 279 186 11 33 229 220
100162547 1310 1079 74 70 288 250
100162548 844 667 1831 2896 4398 4435
100162550 335 277 101 120 811 450
100162551 6 2 0 2 580 501
100162552 12104 8342 6388 7494 13118 8771
100162553 279 219 17 26 448 443
100162554 33 23 0 0 31 43
100162555 2189 1885 1529 2157 5855 5180
100162556 159 128 498 647 421 474
100162557 241 167 140 209 314 396
100162558 1360 1070 654 749 1974 1298
100162559 365 316 355 611 298 481
100162561 10 2 2 2 9 8
100162562 963 681 689 779 2205 1451
100162563 864 760 615 927 997 831
100162564 1419 1140 740 1005 1713 1401
100162565 183 104 10 19 71 43
100162566 106 70 109 135 252 135
100162567 197 156 87 135 216 208
100162568 1529 1053 107 170 247 231
100162569 4805 3578 1106 3006 2254 3498
100162571 476 377 719 694 797 559
100162572 69 54 6 9 41 40
100162573 3322 2597 384 533 318 209
100162574 103 97 8 15 262 224
100162575 0 0 0 0 3 2
100162576 267 222 569 748 577 696
100162577 80 79 312 490 59 43
100162578 423 285 0 0 0 1
100162579 118 140 451 521 275 318
100162580 1084 730 652 936 1579 1230
100162581 113 78 143 150 130 124
100162583 220 162 12 32 342 376
100162584 673 449 136 361 897 1034
100162585 26383 20972 23 21 97 66
100162586 825 665 736 1120 1625 1275
100162588 249 237 252 414 271 344
100162590 316 236 279 484 668 621
100162591 39 40 74 92 139 140
100162593 454 336 28 45 40 38
100162594 52 55 19 33 397 251
100162595 1340 979 688 1074 936 1104
100162596 226 190 448 1039 328 570
100162598 29 25 33 17 40 27
100162600 1787 1425 1174 1482 2526 1813
100162601 418 309 61 93 129 121
100162602 349 296 172 356 425 636
100162603 1478 1060 841 1034 1686 1333
100162604 108 67 279 326 419 290
100162605 1577 1161 1024 1560 1348 1538
100162606 166 179 33 45 71 34
100162607 89 85 60 318 92 133
100162609 1008 900 231 288 393 274
100162610 1496 1094 1151 1487 5502 3820
100162611 121 89 249 388 174 160
100162613 508 575 185 402 387 479
100162614 93 87 264 269 270 201
100162615 853 559 386 653 1309 1450
100162616 861 683 363 478 882 594
100162617 374 273 245 525 426 509
100162619 279 260 609 644 466 366
100162620 1140 820 3415 3676 2877 1391
100162621 91 66 42 53 87 85
100162622 1293 1009 1054 1459 1371 1498
100162624 8 3 6 10 125 157
100162625 554 449 795 877 1154 966
100162626 515 334 375 437 825 642
100162627 154 174 91 251 128 232
100162628 711 516 464 500 642 752
100162629 141 121 35 106 77 96
100162632 818 662 617 1111 919 1063
100162634 1632 1238 134 329 1895 2179
100162635 782 551 642 1170 1215 1366
100162636 238 209 144 251 231 266
100162637 781 592 132 213 767 517
100162640 22 6 1 7 56 37
100162641 0 0 0 0 0 0
100162642 1827 1346 1726 2275 3087 2515
100162643 3425 2699 1222 1792 5282 4258
100162645 40 31 1 0 0 1
100162647 98 62 347 378 810 502
100162648 35 23 36 89 75 100
100162649 150 127 7 16 87 120
100162650 806 631 901 1395 1221 1400
100162651 691 534 105 391 540 914
100162652 7 11 0 7 7 6
100162653 824 590 915 1117 2254 1519
100162654 1096 844 434 1195 1135 1347
100162655 2069 1527 772 1309 1866 1659
100162657 67 55 35 65 85 140
100162658 33793 26024 13 17 20 23
100162659 357 275 199 484 384 547
100162660 1305 1055 1033 1248 570 465
100162662 309 309 419 475 415 279
100162664 413 430 71 144 167 179
100162666 6706 4787 1924 2533 2271 1520
100162667 1028 754 255 350 797 652
100162668 671 513 689 1571 828 1263
100162669 200 124 295 258 293 214
100162670 29 10 17 42 159 149
100162672 146 98 426 623 301 398
100162673 35 31 121 167 89 138
100162675 480 400 782 886 806 548
100162676 2 2 90 110 16 10
100162677 12 16 6 18 8 6
100162678 1496 1289 85 107 1053 856
100162680 376 303 461 481 746 767
100162681 119 135 2495 2511 2957 2544
100162682 538 344 360 524 293 188
100162683 300 192 37 69 190 97
100162684 1945 1610 610 1146 1462 2138
100162687 179 139 821 1434 697 771
100162688 1509 1146 203 362 480 455
100162689 1449 975 942 1167 1205 792
100162692 174 114 106 335 795 1212
100162693 10 10 1 2 31 35
100162696 664 481 663 721 663 412
100162697 74 53 8 9 148 81
100162698 194 149 41 71 238 148
100162699 5 5 2 8 144 81
100162700 677 502 261 432 553 584
100162702 710 532 409 611 486 402
100162704 725 589 305 427 523 361
100162706 396 296 101 211 360 386
100162707 170 150 10 28 91 110
100162708 137 94 117 150 184 156
100162709 638 461 712 1837 1169 1925
100162711 3107 2080 379 358 1535 957
100162715 1926 1476 124 185 341 236
100162716 449 380 464 534 537 491
100162717 0 0 5 11 333 288
100162718 9 9 222 182 29 25
100162719 1648 1482 786 1293 1544 2067
100162721 841 678 697 1292 1069 1408
100162722 369 237 11 45 19 41
100162723 273 196 351 423 384 406
